ligne_num,direction,depart_vendredi,depart_samedi,depart_dimanche,horaires_jeudi,horaires_vendredi,horaires_samedi,horaires_dimanche
131,St-Blaise - Enges - Lignières*,"St-Blaise, centre: https://maps.app.goo.gl/xnEW2P9xdnf1tn7G9","St-Blaise, centre: https://maps.app.goo.gl/xnEW2P9xdnf1tn7G9",-,Toutes les heures de 1h30 à 4h30,Toutes les heures de 1h30 à 4h30,Toutes les heures de 1h30 à 4h30,Toutes les heures de 1h30 à 4h30
150,Neuchâtel - Thielle - Cornaux - Cressier - Le Landeron*,Université: https://maps.app.goo.gl/aZ3DqT21WDQonyh3A,Université: https://maps.app.goo.gl/aZ3DqT21WDQonyh3A,-,Toutes les heures de 1h à 4h,Toutes les heures de 1h à 4h,Toutes les heures de 1h à 4h,Toutes les heures de 1h à 4h
215,Neuchâtel - Boudry (Littorail),Place Pury Littorail: https://maps.app.goo.gl/y2SgtFxyNNSBrccH6,"Jusqu’à 19h26 : Place Pury  Littorail: https://maps.app.goo.gl/y2SgtFxyNNSBrccH6 De 19h40 à 22h30 : Evole: https://maps.app.goo.gl/HqG1oabd6u6o6b58A
 Dès 22h40 : Place Pury Littorail: https://maps.app.goo.gl/y2SgtFxyNNSBrccH6",Place Pury Littorail: https://maps.app.goo.gl/y2SgtFxyNNSBrccH6,,"Toutes les 10 min. de 16h à 2h20 puis toutes les 20 min. jusqu’à 4h
",Toutes les 10 min. de 13h à 2h puis toutes les 20 min. jusqu’à 4h,"Toutes les 10 min. de 12h à 20h20 puis toutes les 20 min. jusqu’à 0h20
 Aux heures de plus forte affluence, des bus supplémentaires circulent en renfort sans horaires. Départs Oriette, quai C."
221,Neuchâtel - Fleurier,Neuchâtel: https://maps.app.goo.gl/YPkHWFgJxkpRCzrHA,Neuchâtel: https://maps.app.goo.gl/YPkHWFgJxkpRCzrHA,-,,départs à 2h59,départs à 2h59,
223,Neuchâtel - La Chaux-de-Fonds - Le Locle *,Neuchâtel: https://maps.app.goo.gl/YPkHWFgJxkpRCzrHA,Neuchâtel: https://maps.app.goo.gl/YPkHWFgJxkpRCzrHA,-,,départs à 3h11,départs à 3h11,
421,Neuchâtel - Savagnier - Cernier,"Oriette, quai A: https://maps.app.goo.gl/vduj3rHhsqC7As4N6","Jusqu’à 19h02 : Oriette, quai A De 19h30 à 22h45: https://maps.app.goo.gl/vduj3rHhsqC7As4N6  Prébarreau Dès 00h10 : Oriette, quai A https://maps.app.goo.gl/vduj3rHhsqC7As4N6","Oriette, quai A: https://maps.app.goo.gl/vduj3rHhsqC7As4N6",,Cernier : 19h22 / 19h52 / 20h22 / 23h31 Oriette : 20h00 / 22h30 / 01h10 / 02h10 / 03h10 / 04h00 / 04h10,"Cernier : 17h21 / 17h51 / 18h21 / 18h51 / 19h21 / 19h51 / 20h21 / 21h51 Oriette : 17h02 / 18h02 / 19h02 / 01h10 / 02h10 /03h10 / 04h00 / 04h10 Prébarreau : 20h00 / 20h30 / 21h00 / 22h30
",Cernier : 12h21 / 15h21 / 16h35 / 19h51 Oriette : 11h32 / 13h02 / 14h32 / 16h02 / 17h32 / 18h02 (jusqu’à Savagnier) / 19h02 / 20h32 / 22h02 / 23h02 / 00h10
422,Neuchâtel - Cernier - Villiers,"Oriette, quai A: https://maps.app.goo.gl/vduj3rHhsqC7As4N6","Jusqu’à 19h10 : Oriette, quai A De 19h30 à 22h10: https://maps.app.goo.gl/vduj3rHhsqC7As4N6 Prébarreau Dès 22h28 : Oriette, quai A:  https://maps.app.goo.gl/vduj3rHhsqC7As4N6","Oriette, quai A: https://maps.app.goo.gl/vduj3rHhsqC7As4N6",,"Toutes les heures de minuit à 4h
",19h à minuit toutes les 20min. Toutes les heures de minuit à 4h,19h à minuit toutes les 20 min. Dernier départ selon horaire habituel
424,"Neuchâtel - Boudevilliers - Coffrane
 - Les Geneveys-sur-Coffrane
 - Les Hauts-Geneveys - Cernier*","Oriette, quai B: https://maps.app.goo.gl/db9yQieAvndgCbzp9","Oriette, quai B: https://maps.app.goo.gl/db9yQieAvndgCbzp9","Oriette, quai B: https://maps.app.goo.gl/db9yQieAvndgCbzp9",,Toutes les heures de minuit à 4h,Toutes les heures de minuit à 4h,Départ à 00h06
612,Neuchâtel - Bevaix - St-Aubin - Vaumarcus,"Oriette, quai C: https://maps.app.goo.gl/7PuX6A88KYdBWMhX7","Oriette, quai C: https://maps.app.goo.gl/7PuX6A88KYdBWMhX7",-,"Toutes les heures de minuit à 4h, sans arrêt entre Oriette et Giratoire 3 Communes","Toutes les heures de minuit à 4h, sans arrêt entre Oriette et Giratoire 3 Communes","Toutes les heures de minuit à 4h, sans arrêt entre Oriette et Giratoire 3 Communes","Toutes les heures de minuit à 4h, sans arrêt entre Oriette et Giratoire 3 Communes"
612,"Boudry Littorail, gare - Boudry, gare*","Boudry Littorail, gare: https://maps.app.goo.gl/tLMsZnkEYbwg4QEa7","Boudry Littorail, gare: https://maps.app.goo.gl/tLMsZnkEYbwg4QEa7",-,Départ à : 01h38 / 02h18 / 02h58 / 03h38 / 04h18 / 04h38,Départ à : 01h38 / 02h18 / 02h58 / 03h38 / 04h18 / 04h38,Départ à : 01h38 / 02h18 / 02h58 / 03h38 / 04h18 / 04h38,Départ à : 01h38 / 02h18 / 02h58 / 03h38 / 04h18 / 04h38
613,Areuse - Cortaillod*,"Areuse Littorail, gare: https://maps.app.goo.gl/FdURX9Q59rhW6JZ5A","Areuse Littorail, gare: https://maps.app.goo.gl/FdURX9Q59rhW6JZ5A",-,Toutes les 20 min. de 00h37 à 03h57 puis 04h14 et 04h25,Toutes les 20 min. de 00h37 à 03h57 puis 04h14 et 04h25,Toutes les 20 min. de 00h37 à 03h57 puis 04h14 et 04h25,Toutes les 20 min. de 00h37 à 03h57 puis 04h14 et 04h25
613,Boudry - Perreux*,"Boudry Littorail, gare: https://maps.app.goo.gl/tLMsZnkEYbwg4QEa7","Boudry Littorail, gare: https://maps.app.goo.gl/tLMsZnkEYbwg4QEa7",-,Départs à : 01h18 / 01h58 / 02h38 / 03h18 / 03h58 / 04h38,Départs à : 01h18 / 01h58 / 02h38 / 03h18 / 03h58 / 04h38,Départs à : 01h18 / 01h58 / 02h38 / 03h18 / 03h58 / 04h38,Départs à : 01h18 / 01h58 / 02h38 / 03h18 / 03h58 / 04h38
613,Areuse - Cortaillod*,"Areuse Littorail, gare: https://maps.app.goo.gl/FdURX9Q59rhW6JZ5A","Areuse Littorail, gare: https://maps.app.goo.gl/FdURX9Q59rhW6JZ5A",-,Toutes les 20 min. de 00h37 à 03h57 puis 04h14 et 04h25,Toutes les 20 min. de 00h37 à 03h57 puis 04h14 et 04h25,Toutes les 20 min. de 00h37 à 03h57 puis 04h14 et 04h25,Toutes les 20 min. de 00h37 à 03h57 puis 04h14 et 04h25
613,Boudry - Perreux*,"Boudry Littorail, gare: https://maps.app.goo.gl/tLMsZnkEYbwg4QEa7","Boudry Littorail, gare: https://maps.app.goo.gl/tLMsZnkEYbwg4QEa7",-,Départs à : 01h18 / 01h58 / 02h38 / 03h18 / 03h58 / 04h38,Départs à : 01h18 / 01h58 / 02h38 / 03h18 / 03h58 / 04h38,Départs à : 01h18 / 01h58 / 02h38 / 03h18 / 03h58 / 04h38,Départs à : 01h18 / 01h58 / 02h38 / 03h18 / 03h58 / 04h38
