Description,Location
Emplacement des toilettes,https://www.google.com/maps/d/u/0/edit?mid=1LSErfDnQww8LYpLVGvbbr5dGuhA4BRQ&usp=sharing
Emplacement de la salle de bain,https://www.google.com/maps/d/u/0/edit?mid=1LSErfDnQww8LYpLVGvbbr5dGuhA4BRQ&usp=sharing
